controlStep,q_1,q_2,q_3,q_4,flexion_1,flexion_2,flexion_3,flexion_4
4,206,6665.16666666667,432.5,313,0.055151509550785,0.999929607208222,0.13333679161712,0.127892249987822
4,566,6665.16666666667,1161.83333333333,859.25,0.0751125116670209,0.999929607208222,0.220645156141513,0.207718349651712
4,975,6665.16666666667,1930,1438.25,0.0977904279601889,0.999929607208222,0.312602252140811,0.29233036192703
4,1398.66666666667,6665.16666666667,2690.16666666667,2029.25,0.1212815702655,0.999929607208222,0.403601669553004,0.378695991037069
4,1828,6665.16666666667,3420.66666666667,2623,0.145086913530048,0.999929607208222,0.491049695538016,0.465463490671733
4,2261.66666666667,6665.16666666667,4096.66666666667,3200.25,0.169132528116365,0.999929607208222,0.571973536148376,0.549819767158654
4,2696.66666666667,6665.16666666667,4714.83333333333,3691.75,0.19325207234015,0.999929607208222,0.645974158639458,0.621644990014126
4,3127.33333333333,6665.16666666667,5297.33333333333,4054,0.217131345242166,0.999929607208222,0.71570513076303,0.674582298212285
4,3538.66666666667,6665.16666666667,5859.66666666667,4369.5,0.239938638400902,0.999929607208222,0.783021954781609,0.720687807491841
4,3925.33333333333,6665.16666666667,6414.83333333333,4761.5,0.261378233266489,0.999929607208222,0.84948085839924,0.777972624092747
5,5043,6665.16666666667,7196.33333333333,5769.16666666667,0.323349751873654,0.999929607208222,0.943034085377046,0.92522772663062
5,6113,6665.16666666667,7386.5,6277.5,0.382678285941355,0.999929607208222,0.965798903458018,0.999512884212577
5,7143.66666666667,6665.16666666667,7490.5,6277.66666666667,0.439825895703764,0.999929607208222,0.978248725090381,0.999537240001949
5,8220.5,6665.16666666667,7554.66666666667,6277.66666666667,0.499533319163486,0.999929607208222,0.985930105424451,0.999537240001949
5,9260.33333333333,6665.16666666667,7585.5,6277.66666666667,0.557189195183484,0.999929607208222,0.989621158312251,0.999537240001949
5,10357.6666666667,6665.16666666667,7602.5,6277.66666666667,0.61803328681927,0.999929607208222,0.991656225309849,0.999537240001949
5,11387.6666666667,6665.16666666667,7602.5,6277.66666666667,0.675143931762945,0.999929607208222,0.991656225309849,0.999537240001949
5,12441.8333333333,6665.16666666667,7602.5,6277.66666666667,0.733594551385719,0.999929607208222,0.991656225309849,0.999537240001949
5,13486.8333333333,6665.16666666667,7602.5,6277.66666666667,0.791536904750903,0.999929607208222,0.991656225309849,0.999537240001949
5,14511.5,6665.16666666667,7602.5,6277.66666666667,0.848351831144708,0.999929607208222,0.991656225309849,0.999537240001949
6,15629.3333333333,6665.16666666667,7602.5,6280.83333333333,0.910332590956557,0.999929607208222,0.991656225309849,1
6,16626.5,6665.16666666667,7602.5,6280.83333333333,0.965622718577594,0.999929607208222,0.991656225309849,1
6,17114,6665.16666666667,7602.5,6280.83333333333,0.992653242276663,0.999929607208222,0.991656225309849,1
6,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
6,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
6,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
6,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
6,17246.5,6665.16666666667,7601.16666666667,6280.83333333333,1,0.999929607208222,0.991496612211998,1
6,17246.5,6665.16666666667,7564.83333333333,6280.83333333333,1,0.999929607208222,0.987147155295564,1
6,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
7,17246.5,6665.16666666667,7578.83333333333,6280.83333333333,1,0.999929607208222,0.988823092822997,1
7,17246.5,6665.16666666667,7599.5,6280.83333333333,1,0.999929607208222,0.991297095839685,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7602.5,6280.83333333333,1,0.999929607208222,0.991656225309849,1
7,17246.5,6665.16666666667,7603.66666666667,6280.83333333333,1,0.999929607208222,0.991795886770468,1
8,17246.5,6665.16666666667,7576.16666666667,6280.83333333333,1,0.999929607208222,0.988503866627296,1
8,17246.5,6665.16666666667,7543.66666666667,6280.83333333333,1,0.999929607208222,0.984613297367182,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
8,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,1,0.999929607208222,0.984014748250241,1
9,17246.5,6665.16666666667,7578.83333333333,6280.83333333333,1,0.999929607208222,0.988823092822997,1
