grid,motor,direction,pwm,pwm_magnitude,duration,n_initial,n_unique_endpoints,mean_displacement,min_displacement,max_displacement,mean_abs_stroke_fraction,min_abs_stroke_fraction,max_abs_stroke_fraction,modal_endpoint_percent,q_final_min,q_final_max,motor_global_min,motor_global_max,motor_stroke,grid_initial_min,grid_initial_max
perCombination,3,opening,-224,224,0.2,21,2,-4068.56349206349,-8306.16666666667,0,0.461183800959362,0,0.941528753872893,95.2380952380952,-745,-558.166666666667,-910,7912,8822,-745,7748
perCombination,3,opening,-255,255,0.2,21,2,-4134.72222222222,-8476.33333333333,0,0.468683090254163,0,0.960817652837603,95.2380952380952,-910,-681.333333333333,-910,7912,8822,-910,7795
perCombination,4,closing,64,64,0.2,21,20,1674.98412698413,0,3117.33333333333,0.23351235563699,0,0.434592685533714,9.52380952380952,3117.33333333333,6050,-671,6502,7173,0,6050
perCombination,4,closing,96,96,0.2,21,9,2830.22619047619,0,4874.5,0.394566595633095,0,0.679562247316325,61.9047619047619,4761.5,6095,-671,6502,7173,0,6095
perCombination,4,closing,128,128,0.2,21,2,3056.12698412698,0,6146.33333333333,0.426059805398994,0,0.856870672429016,95.2380952380952,6146.33333333333,6184,-671,6502,7173,0,6184
perCombination,4,closing,160,160,0.2,21,2,3038.45238095238,0,6186.2,0.423595759229385,0,0.862428551512617,95.2380952380952,6186.2,6307,-671,6502,7173,0,6307
perCombination,4,closing,192,192,0.2,21,2,3094.34126984127,0,6217.33333333333,0.431387323273563,0,0.866768901900646,95.2380952380952,6217.33333333333,6249,-671,6502,7173,0,6249
perCombination,4,closing,224,224,0.2,21,2,3080.77777777778,0,6277.66666666667,0.429496414021717,0,0.875180073423486,95.2380952380952,6277.66666666667,6406,-671,6502,7173,0,6406
perCombination,4,closing,255,255,0.2,21,2,3040.36507936508,0,6280.83333333333,0.423862411733595,0,0.875621543752033,95.2380952380952,6280.83333333333,6502,-671,6502,7173,0,6502
perCombination,4,opening,-64,64,0.2,21,15,-2352.12698412698,-3472.33333333333,0,0.327913980778891,0,0.484083832891863,33.3333333333333,-90,2976.33333333333,-671,6502,7173,-90,6050
perCombination,4,opening,-96,96,0.2,21,5,-3016.5,-5539.3,0,0.420535340861564,0,0.772243133974627,80.9523809523809,-177,958.5,-671,6502,7173,-177,6095
perCombination,4,opening,-128,128,0.2,21,2,-3164.66666666667,-6475,0,0.441191505181467,0,0.902690645476091,95.2380952380952,-452,-291,-671,6502,7173,-452,6184
perCombination,4,opening,-160,160,0.2,21,2,-3310.69047619048,-6716.2,0,0.461548930181301,0,0.936316743343092,95.2380952380952,-514,-409.2,-671,6502,7173,-514,6307
perCombination,4,opening,-192,192,0.2,21,2,-3320.97619047619,-6717.5,0,0.462982878917634,0,0.936497978530601,95.2380952380952,-552,-468.5,-671,6502,7173,-552,6249
perCombination,4,opening,-224,224,0.2,21,2,-3413.16666666667,-6896,0,0.475835308332172,0,0.961382963892374,95.2380952380952,-567,-490,-671,6502,7173,-567,6406
perCombination,4,opening,-255,255,0.2,21,2,-3482.84920634921,-7064.16666666667,0,0.485549868444055,0,0.984827361866258,95.2380952380952,-671,-562.166666666667,-671,6502,7173,-671,6502
