case_id,grid,motor,direction,pwm,initial_index,q_initial,duration,n_points,first,q_final,trajectory_sum,displacement,abs_stroke_fraction,monotonic,n_reverse_steps,minimum_directed_step,out_of_curve_domain,held_initial
266,perCombination,1,closing,255,14,11293.75,0.2,1,17246.5,17246.5,17246.5,5952.75,0.326249588951003,1,0,5952.75,0,0
267,perCombination,1,closing,255,15,12162.5,0.2,1,17246.5,17246.5,17246.5,5084,0.278636413460485,1,0,5084,0,0
268,perCombination,1,closing,255,16,13031.25,0.2,1,17246.5,17246.5,17246.5,4215.25,0.231023237969966,1,0,4215.25,0,0
269,perCombination,1,closing,255,17,13900,0.2,1,17246.5,17246.5,17246.5,3346.5,0.183410062479448,1,0,3346.5,0,0
270,perCombination,1,closing,255,18,14768.75,0.2,1,17246.5,17246.5,17246.5,2477.75,0.135796886988929,1,0,2477.75,0,0
271,perCombination,1,closing,255,19,15637.5,0.2,1,17246.5,17246.5,17246.5,1609,0.0881837114984106,1,0,1609,0,0
272,perCombination,1,closing,255,20,16506.25,0.2,1,17246.5,17246.5,17246.5,740.25,0.0405705360078921,1,0,740.25,0,0
273,perCombination,1,closing,255,21,17375,0.2,1,17375,17375,17375,0,0,1,0,0,1,1
295,perCombination,1,opening,-64,1,-194,0.2,1,-194,-194,-194,0,0,1,0,-0,1,1
296,perCombination,1,opening,-64,2,666.5,0.2,1,-145.333333333333,-145.333333333333,-145.333333333333,-811.833333333333,0.0444937703240893,1,0,811.833333333333,0,0
297,perCombination,1,opening,-64,3,1527,0.2,1,-145.333333333333,-145.333333333333,-145.333333333333,-1672.33333333333,0.0916547919178633,1,0,1672.33333333333,0,0
298,perCombination,1,opening,-64,4,2387.5,0.2,1,110.666666666667,110.666666666667,110.666666666667,-2276.83333333333,0.124785341079323,1,0,2276.83333333333,0,0
299,perCombination,1,opening,-64,5,3248,0.2,1,403,403,403,-2845,0.155924586210676,1,0,2845,0,0
300,perCombination,1,opening,-64,6,4108.5,0.2,1,694.333333333333,694.333333333333,694.333333333333,-3414.16666666667,0.187118637874968,1,0,3414.16666666667,0,0
301,perCombination,1,opening,-64,7,4969,0.2,1,982.333333333333,982.333333333333,982.333333333333,-3986.66666666667,0.218495377982389,1,0,3986.66666666667,0,0
302,perCombination,1,opening,-64,8,5829.5,0.2,1,1431.66666666667,1431.66666666667,1431.66666666667,-4397.83333333333,0.241029997442362,1,0,4397.83333333333,0,0
303,perCombination,1,opening,-64,9,6690,0.2,1,2047,2047,2047,-4643,0.254466732434506,1,0,4643,0,0
304,perCombination,1,opening,-64,10,7550.5,0.2,1,2737.66666666667,2737.66666666667,2737.66666666667,-4812.83333333333,0.263774708611933,1,0,4812.83333333333,0,0
305,perCombination,1,opening,-64,11,8411,0.2,1,3634.66666666667,3634.66666666667,3634.66666666667,-4776.33333333333,0.26177427015967,1,0,4776.33333333333,0,0
306,perCombination,1,opening,-64,12,9271.5,0.2,1,4524.66666666667,4524.66666666667,4524.66666666667,-4746.83333333333,0.260157477437977,1,0,4746.83333333333,0,0
307,perCombination,1,opening,-64,13,10132,0.2,1,5438.66666666667,5438.66666666667,5438.66666666667,-4693.33333333333,0.257225327925755,1,0,4693.33333333333,0,0
308,perCombination,1,opening,-64,14,10992.5,0.2,1,6353.33333333333,6353.33333333333,6353.33333333333,-4639.16666666667,0.254256640724908,1,0,4639.16666666667,0,0
309,perCombination,1,opening,-64,15,11853,0.2,1,7256.66666666667,7256.66666666667,7256.66666666667,-4596.33333333333,0.251909094230699,1,0,4596.33333333333,0,0
310,perCombination,1,opening,-64,16,12713.5,0.2,1,8166.66666666667,8166.66666666667,8166.66666666667,-4546.83333333333,0.249196170850232,1,0,4546.83333333333,0,0
311,perCombination,1,opening,-64,17,13574,0.2,1,9067,9067,9067,-4507,0.247013043954839,1,0,4507,0,0
312,perCombination,1,opening,-64,18,14434.5,0.2,1,10362,10362,10362,-4072.5,0.223199605392963,1,0,4072.5,0,0
313,perCombination,1,opening,-64,19,15295,0.2,1,10362,10362,10362,-4933,0.270360626986737,1,0,4933,0,0
314,perCombination,1,opening,-64,20,16155.5,0.2,1,10362,10362,10362,-5793.5,0.317521648580511,1,0,5793.5,0,0
315,perCombination,1,opening,-64,21,17016,0.2,1,10362,10362,10362,-6654,0.364682670174285,1,0,6654,0,0
337,perCombination,1,opening,-96,1,-368,0.2,1,-368,-368,-368,0,0,1,0,-0,1,1
338,perCombination,1,opening,-96,2,502.7,0.2,1,-320,-320,-320,-822.7,0.0450893346486901,1,0,822.7,0,0
339,perCombination,1,opening,-96,3,1373.4,0.2,1,-320,-320,-320,-1693.4,0.0928093828784391,1,0,1693.4,0,0
340,perCombination,1,opening,-96,4,2244.1,0.2,1,-320,-320,-320,-2564.1,0.140529431108188,1,0,2564.1,0,0
341,perCombination,1,opening,-96,5,3114.8,0.2,1,-320,-320,-320,-3434.8,0.188249479337937,1,0,3434.8,0,0
342,perCombination,1,opening,-96,6,3985.5,0.2,1,-320,-320,-320,-4305.5,0.235969527567686,1,0,4305.5,0,0
343,perCombination,1,opening,-96,7,4856.2,0.2,1,-320,-320,-320,-5176.2,0.283689575797435,1,0,5176.2,0,0
344,perCombination,1,opening,-96,8,5726.9,0.2,1,-320,-320,-320,-6046.9,0.331409624027184,1,0,6046.9,0,0
345,perCombination,1,opening,-96,9,6597.6,0.2,1,-301.75,-301.75,-301.75,-6899.35,0.378129453030801,1,0,6899.35,0,0
346,perCombination,1,opening,-96,10,7468.3,0.2,1,-71.5,-71.5,-71.5,-7539.8,0.413230297051409,1,0,7539.8,0,0
347,perCombination,1,opening,-96,11,8339,0.2,1,395.5,395.5,395.5,-7943.5,0.435355694398772,1,0,7943.5,0,0
348,perCombination,1,opening,-96,12,9209.7,0.2,1,1336.75,1336.75,1336.75,-7872.95,0.431489093499945,1,0,7872.95,0,0
349,perCombination,1,opening,-96,13,10080.4,0.2,1,2256.25,2256.25,2256.25,-7824.15,0.428814534692535,1,0,7824.15,0,0
350,perCombination,1,opening,-96,14,10951.1,0.2,1,3173.25,3173.25,3173.25,-7777.85,0.426276992217472,1,0,7777.85,0,0
351,perCombination,1,opening,-96,15,11821.8,0.2,1,4125.75,4125.75,4125.75,-7696.05,0.421793817823084,1,0,7696.05,0,0
352,perCombination,1,opening,-96,16,12692.5,0.2,1,5078.25,5078.25,5078.25,-7614.25,0.417310643428697,1,0,7614.25,0,0
353,perCombination,1,opening,-96,17,13563.2,0.2,1,6027.25,6027.25,6027.25,-7535.95,0.413019291899594,1,0,7535.95,0,0
354,perCombination,1,opening,-96,18,14433.9,0.2,1,6975,6975,6975,-7458.9,0.408796448536666,1,0,7458.9,0,0
355,perCombination,1,opening,-96,19,15304.6,0.2,1,7909.5,7909.5,7909.5,-7395.1,0.405299791735175,1,0,7395.1,0,0
356,perCombination,1,opening,-96,20,16175.3,0.2,1,8898,8898,8898,-7277.3,0.398843582154993,1,0,7277.3,0,0
357,perCombination,1,opening,-96,21,17046,0.2,1,9800.75,9800.75,9800.75,-7245.25,0.397087032774307,1,0,7245.25,0,0
379,perCombination,1,opening,-128,1,-557,0.2,1,-557,-557,-557,0,0,1,0,-0,1,1
380,perCombination,1,opening,-128,2,329.45,0.2,1,-493,-493,-493,-822.45,0.0450756330154554,1,0,822.45,0,0
381,perCombination,1,opening,-128,3,1215.9,0.2,1,-493,-493,-493,-1708.9,0.0936588841389894,1,0,1708.9,0,0
382,perCombination,1,opening,-128,4,2102.35,0.2,1,-493,-493,-493,-2595.35,0.142242135262523,1,0,2595.35,0,0
383,perCombination,1,opening,-128,5,2988.8,0.2,1,-493,-493,-493,-3481.8,0.190825386386057,1,0,3481.8,0,0
384,perCombination,1,opening,-128,6,3875.25,0.2,1,-493,-493,-493,-4368.25,0.239408637509591,1,0,4368.25,0,0
385,perCombination,1,opening,-128,7,4761.7,0.2,1,-493,-493,-493,-5254.7,0.287991888633125,1,0,5254.7,0,0
