motor,pwm,pos,duration,n_points,first,last,sum
1,-192,5291.333333333333,0.2,1,-659.25,-659.25,-659.25
1,-192,5291.333333333333,3.0,21,-659.25,-659.25,-13844.25
1,-192,8290.5,0.2,1,-659.25,-659.25,-659.25
1,-192,8290.5,3.0,21,-142.5,-659.25,-13327.5
1,-192,11289.666666666666,0.2,1,-314.5,-314.5,-314.5
1,-192,11289.666666666666,3.0,21,2947.25,-659.25,-10237.75
1,-192,14288.833333333332,0.2,1,2768.25,2768.25,2768.25
1,-192,14288.833333333332,3.0,21,6169.25,-659.25,-7015.75
1,-192,17288.0,0.2,1,6347.75,6347.75,6347.75
1,-192,17288.0,3.0,21,9658.75,-659.25,-1646.75
1,224,0.0,0.2,1,10436.833333333334,10436.833333333334,10436.833333333334
1,224,0.0,3.0,21,7429.666666666667,17213.833333333332,349404.9999999999
1,224,2880.3333333333335,0.2,1,13539.0,13539.0,13539.0
1,224,2880.3333333333335,3.0,21,10551.5,17213.833333333332,354670.8333333332
1,224,5760.666666666667,0.2,1,16192.333333333334,16192.333333333334,16192.333333333334
1,224,5760.666666666667,3.0,21,13330.0,17213.833333333332,357606.66666666657
1,224,8641.0,0.2,1,17210.5,17210.5,17210.5
1,224,8641.0,3.0,21,16094.666666666666,17213.833333333332,360371.3333333332
1,224,11521.333333333334,0.2,1,17213.833333333332,17213.833333333332,17213.833333333332
1,224,11521.333333333334,3.0,21,17198.0,17213.833333333332,361474.66666666657
1,224,14401.666666666668,0.2,1,17213.833333333332,17213.833333333332,17213.833333333332
1,224,14401.666666666668,3.0,21,17213.833333333332,17213.833333333332,361490.4999999999
1,224,17282.0,0.2,1,17282.0,17282.0,17282.0
1,224,17282.0,3.0,21,17282.0,17282.0,362922.0
1,-224,-788.0,0.2,1,-788.0,-788.0,-788.0
1,-224,-788.0,3.0,21,-788.0,-788.0,-16548.0
1,-224,2223.5,0.2,1,-706.3333333333334,-706.3333333333334,-706.3333333333334
1,-224,2223.5,3.0,21,-706.3333333333334,-706.3333333333334,-14833.000000000004
1,-224,5235.0,0.2,1,-706.3333333333334,-706.3333333333334,-706.3333333333334
1,-224,5235.0,3.0,21,-706.3333333333334,-706.3333333333334,-14833.000000000004
1,-224,8246.5,0.2,1,-706.3333333333334,-706.3333333333334,-706.3333333333334
1,-224,8246.5,3.0,21,-390.6666666666667,-706.3333333333334,-14517.333333333338
1,-224,11258.0,0.2,1,-578.3333333333334,-578.3333333333334,-578.3333333333334
1,-224,11258.0,3.0,21,2494.0,-706.3333333333334,-11632.66666666667
1,-224,14269.5,0.2,1,2235.8333333333335,2235.8333333333335,2235.8333333333335
1,-224,14269.5,3.0,21,5771.833333333333,-706.3333333333334,-8354.833333333334
1,-224,17281.0,0.2,1,5833.666666666667,5833.666666666667,5833.666666666667
1,-224,17281.0,3.0,21,9312.666666666666,-706.3333333333334,-3595.1666666666697
1,255,0.0,0.2,1,11176.666666666666,11176.666666666666,11176.666666666666
1,255,0.0,3.0,21,7924.666666666667,17246.5,351502.0
1,255,2895.8333333333335,0.2,1,14281.166666666666,14281.166666666666,14281.166666666666
1,255,2895.8333333333335,3.0,21,11120.0,17246.5,356050.0
1,255,5791.666666666667,0.2,1,16810.5,16810.5,16810.5
1,255,5791.666666666667,3.0,21,13899.666666666666,17246.5,358829.6666666666
1,255,8687.5,0.2,1,17246.5,17246.5,17246.5
1,255,8687.5,3.0,21,16582.833333333332,17246.5,361512.8333333333
1,255,11583.333333333334,0.2,1,17246.5,17246.5,17246.5
1,255,11583.333333333334,3.0,21,17246.5,17246.5,362176.5
1,255,14479.166666666668,0.2,1,17246.5,17246.5,17246.5
1,255,14479.166666666668,3.0,21,17246.5,17246.5,362176.5
1,255,17375.0,0.2,1,17375.0,17375.0,17375.0
1,255,17375.0,3.0,21,17375.0,17375.0,364875.0
1,-255,-871.0,0.2,1,-871.0,-871.0,-871.0
1,-255,-871.0,3.0,21,-871.0,-871.0,-18291.0
1,-255,2170.0,0.2,1,-788.6666666666666,-788.6666666666666,-788.6666666666666
1,-255,2170.0,3.0,21,-788.6666666666666,-788.6666666666666,-16561.999999999996
1,-255,5211.0,0.2,1,-788.6666666666666,-788.6666666666666,-788.6666666666666
1,-255,5211.0,3.0,21,-788.6666666666666,-788.6666666666666,-16561.999999999996
1,-255,8252.0,0.2,1,-788.6666666666666,-788.6666666666666,-788.6666666666666
1,-255,8252.0,3.0,21,-664.8333333333334,-788.6666666666666,-16438.166666666664
