speed_field,pwm,direction,motor,length_ms,n_rep,n_fit,n_val,stroke,floor_sd,floor_nrmse,floor_heldout_rmse,floor_heldout_nrmse
sp_9F,160,opening,2,451,5,3,2,6810.33333333333,271.948010878628,0.0399316740558898,314.018514572718,0.0461091255307207
sp_9F,160,opening,3,451,5,3,2,8121.66666666667,413.489375213721,0.0509118869542854,477.456404173384,0.0587879832760169
sp_9F,160,opening,4,451,5,3,2,6603.33333333333,235.413477828346,0.0356507033561351,271.832069590123,0.0411658863589282
sp_BF,192,closing,1,620,3,2,1,17169.5,545.663049609993,0.0317809516648704,668.298021517733,0.038923557559494
sp_BF,192,closing,2,620,3,2,1,6521.5,30.4077266284357,0.00466268904829191,37.2417072388541,0.00571060449878925
sp_BF,192,closing,3,620,3,2,1,7716.5,287.565362836392,0.0372662946719876,352.194203323733,0.0456417032752845
sp_BF,192,closing,4,620,3,2,1,6228,56.0245337963358,0.00899558988380472,68.615760439167,0.0110173025753319
sp_BF,192,opening,1,468,4,2,2,17848,119.599697352617,0.00670101397089966,146.479115952604,0.00820703249398274
sp_BF,192,opening,2,468,4,2,2,6859,36.7769611549795,0.0053618546661291,45.0423945599288,0.00656690400348868
sp_BF,192,opening,3,468,4,2,2,8077.5,300.242405627107,0.0371702142528142,367.720346466072,0.0455240292746608
sp_BF,192,opening,4,468,4,2,2,6633,157.531135845216,0.0237496058865092,192.935450710919,0.0290872080070736
sp_DF,224,closing,1,459,6,3,3,17227.6666666667,579.386663911143,0.033631174500966,669.018092747955,0.038833935302592
sp_DF,224,closing,2,459,6,3,3,6597.33333333333,156.505393746046,0.0237225233042714,180.716862417816,0.0273924104311565
sp_DF,224,closing,3,459,6,3,3,7612.66666666667,198.428823060942,0.0260656129776175,229.125868818431,0.0300979773384401
sp_DF,224,closing,4,459,6,3,3,6303.66666666667,84.6122000710977,0.0134226957968004,97.7017529755495,0.0154991940630664
sp_DF,224,opening,1,456,6,3,3,17930.6666666667,147.251304365791,0.00821226043087028,170.031160428226,0.00948270154083654
sp_DF,224,opening,2,456,6,3,3,6985,72.608051162163,0.0103948534233591,83.8405557676178,0.0120029428443261
sp_DF,224,opening,3,456,6,3,3,8084,272.128196107936,0.0336625675541731,314.226574554008,0.0388701848780316
sp_DF,224,opening,4,456,6,3,3,6778,105.215109648023,0.0155230318158783,121.491943756204,0.017924453195073
sp_FF,255,closing,1,455,6,3,3,17248.3333333333,520.584869027909,0.0301817490981491,601.119628538619,0.0348508819328603
sp_FF,255,closing,2,455,6,3,3,6707.66666666667,209.712244852383,0.0312645596857898,242.154842035768,0.0361012039013717
sp_FF,255,closing,3,455,6,3,3,7650.66666666667,341.000531725924,0.0445713486919559,393.753497571536,0.0514665603308908
sp_FF,255,closing,4,455,6,3,3,6318.66666666667,170.960471407524,0.0270564156057487,197.408148375839,0.0312420576665708
sp_FF,255,opening,1,424,6,3,3,18057.6666666667,197.950729607651,0.0109621432968998,228.57381405052,0.0126579927667207
sp_FF,255,opening,2,424,6,3,3,7126.66666666667,123.089842297119,0.0172717271698482,142.1319071695,0.0199436726617633
sp_FF,255,opening,3,424,6,3,3,8212,374.880000716372,0.045650267987868,432.874138654809,0.0527123890227483
sp_FF,255,opening,4,424,6,3,3,6870.33333333333,99.575557576479,0.0144935555154741,114.979949942974,0.0167357163567475
